ID,Lon_Degrees,Lat_Degrees
1,-124.00,40.00
2,-124.00,41.00
3,-123.50,42.00
4,-123.00,39.00
5,-123.00,41.00
6,-122.50,38.00
7,-122.00,37.00
8,-122.00,39.00
9,-122.00,41.00
10,-121.00,37.00
11,-121.00,39.00
12,-121.00,41.00
13,-120.50,36.00
14,-120.50,40.00
15,-120.50,42.00
16,-120.00,35.00
17,-120.00,37.00
18,-120.00,39.00
19,-120.00,41.00
20,-119.50,38.00
21,-119.00,35.00
22,-119.00,37.00
23,-118.00,35.00
24,-118.00,37.00
25,-117.50,40.00
26,-117.00,33.00
27,-117.00,35.00
28,-116.50,36.00
29,-116.00,33.00
30,-116.00,35.00
31,-115.00,33.00
32,-115.00,35.00
33,-114.50,40.00
