MAG,LAT,LON,DEPTH,EVID
3.6000,36.3310,-114.3650,5.0000,3198810
3.4800,32.1440,-115.0450,6.0000,3198886
3.0700,37.6480,-118.9510,6.0000,3198933
4.2000,38.7680,-119.7190,1.0000,3199215
3.0500,35.0310,-116.9900,7.8000,3199319
3.2000,36.8110,-121.5360,7.0000,3199404
3.9400,32.3340,-115.2730,6.0000,3199724
4.3000,40.3160,-124.6190,17.0000,3199753
3.1000,34.0090,-116.3220,5.4000,3199907
3.7000,36.7880,-122.1170,14.0000,3199913
3.7000,38.2570,-118.8250,5.0000,3200035
3.3900,37.6290,-118.8640,6.0000,3200100
3.2000,34.9870,-116.9430,0.0000,3200168
3.6000,38.8220,-122.7920,4.0000,3200176
3.3000,34.5990,-120.8860,6.0000,3200191
3.0500,34.3030,-118.4530,7.4000,3200236
3.2300,34.3060,-116.8600,4.5000,3200927
3.1100,34.3070,-116.8630,3.8000,3200990
3.4800,33.9410,-117.3460,15.4000,3201076
3.1000,36.8070,-121.5340,8.0000,3201466
3.2000,36.6230,-121.2270,6.0000,3201467
3.1000,36.6220,-121.2260,6.0000,3201502
3.8000,40.8700,-121.1610,17.0000,3201987
3.3900,34.2770,-118.3810,6.0000,3202577
3.0200,36.4800,-120.4930,6.0000,3202654
3.8000,37.9310,-118.4860,5.0000,3202969
3.0000,37.9260,-118.4870,5.0000,3203017
3.2000,34.2530,-118.4800,14.2000,3203218
3.6000,36.7970,-121.5140,5.0000,3203315
3.2000,36.8300,-121.5630,6.0000,3203432
3.6000,38.7780,-119.7090,2.0000,3203548
3.5000,34.3220,-116.8790,9.3000,3203622
4.3400,34.0490,-118.9150,15.6000,3203644
3.7500,34.0460,-118.9220,15.6000,3203656
3.1100,34.1460,-116.4290,2.6000,3203881
3.2000,34.3770,-116.4600,1.2000,3204787
3.1300,34.0510,-116.4350,2.9000,3204908
3.6000,38.9300,-122.6250,5.0000,3205069
3.6800,33.7450,-118.6140,14.4000,3205134
3.7200,33.7530,-118.6010,11.3000,3205153
3.4000,32.8660,-118.4130,6.0000,3205294
3.5000,39.5480,-118.1080,5.0000,3205464
4.6100,37.6070,-118.8230,6.0000,3205480
4.3500,37.6030,-118.8200,6.0000,3205487
3.2800,37.5710,-118.8450,6.0000,3205488
3.1200,32.3190,-115.2390,6.0000,3206054
3.3700,34.9360,-116.9210,0.0000,3206382
3.2000,37.9240,-122.2950,5.0000,3206648
3.2100,34.0300,-116.9550,11.6000,3207055
3.4100,37.6260,-118.8560,6.0000,3207214
3.3600,37.6140,-118.8640,6.0000,3207262
3.6000,37.5300,-118.4090,6.0000,3207224
3.0000,37.6330,-118.8580,6.0000,3207268
3.0200,37.6110,-118.8560,6.0000,3207306
3.0000,37.0840,-121.8090,5.0000,3208078
3.0600,37.5120,-118.7410,10.0000,3208082
3.2800,33.9880,-116.4410,8.2000,3208087
3.1500,32.4890,-115.4740,6.0000,3208229
3.0000,36.7050,-121.3320,4.0000,3208587
3.1500,32.4640,-115.4710,6.0000,3208720
3.7000,39.4720,-116.5270,5.0000,3208820
3.0900,35.8490,-117.6310,5.3000,3208830
3.4000,39.4860,-116.5250,5.0000,3208877
3.6600,34.2670,-117.4690,9.5000,3208878
3.4800,34.0540,-117.2590,18.2000,3208879
3.3400,35.7720,-120.3220,10.0000,3209046
3.1000,34.3650,-116.4700,1.3000,3209212
3.2900,34.0400,-116.3220,8.1000,3209441
3.6600,34.4120,-116.4700,3.7000,3209506
3.6000,36.9450,-121.4440,4.0000,3209624
3.4100,33.9060,-116.2910,9.3000,3209640
3.0000,34.2280,-116.7630,7.4000,3209988
3.4400,34.3240,-118.5310,4.7000,3210104
3.1400,32.0390,-116.3830,6.0000,3210176
3.2100,34.3020,-116.9120,6.5000,3210509
3.2000,38.7680,-119.7100,2.0000,3210526
3.8000,38.7770,-119.7050,6.0000,3210670
3.3000,36.6010,-121.1990,7.0000,3210740
4.6000,36.6030,-121.2010,7.0000,3210741
3.4000,36.6170,-121.2230,7.0000,3210743
3.0000,36.6000,-121.2050,6.0000,3210750
3.0000,36.6030,-121.2090,7.0000,3210765
3.2000,36.6210,-121.2270,7.0000,3210827
3.1000,38.7720,-119.6980,4.0000,3211044
3.0000,36.7650,-121.0000,2.0000,3211638
3.4000,38.5080,-114.6290,5.0000,3212125
4.7700,33.9050,-116.2880,10.7000,3212249
3.2000,37.2580,-121.6390,7.0000,3205811
3.0500,33.9050,-116.2970,9.3000,3212318
3.6000,38.6810,-118.4340,9.0000,3212390
3.7300,33.9750,-116.9740,14.6000,3212848
4.6000,39.8100,-122.7090,13.0000,3213200
3.2200,32.3910,-118.5380,6.0000,3213395
3.2500,34.3880,-118.6520,16.7000,3213718
3.0200,33.8100,-116.9880,11.4000,3213726
3.1300,34.3900,-118.6530,16.0000,3213729
3.1000,34.2750,-118.4580,10.6000,3214277
